epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
33,165.078,2.52239,2.69535,2.59299,2.63427,0,0.06914,0.02273,0.01882,0.00431,0,0,0,0,3.42261,2.80698,3.549,3.69376,0,0.00193664,0.00193664,0.00193664
34,169.482,2.63137,2.7768,2.64379,2.66104,0,0.02296,0.02273,0.00896,0.00142,0,0,0,0,3.59737,2.32421,3.81409,3.80799,0,0.00193466,0.00193466,0.00193466
35,173.94,2.48876,2.69573,2.59455,2.69222,0,0.01626,0.15909,0.00889,0.00164,0.0003,0.02273,3e-05,0,3.26561,12.0401,3.41769,3.70786,0,0.00193268,0.00193268,0.00193268
36,178.383,2.53351,2.69277,2.52529,2.63622,0,0.0517,0.02273,0.0125,0.00251,0.00068,0.04545,0.00013,2e-05,3.7345,13.6354,3.4706,4.08558,0,0.0019307,0.0019307,0.0019307
37,182.745,2.49833,2.66492,2.5801,2.60323,0,0.01451,0.04545,0.00834,0.00178,0.00071,0.04545,0.00014,3e-05,3.58247,3.37283,3.30646,3.64984,0,0.00192872,0.00192872,0.00192872
38,187.176,2.5053,2.69296,2.52111,2.62615,0,0.01451,0.04545,0.00834,0.00178,0.00071,0.04545,0.00014,3e-05,3.58247,3.37283,3.30646,3.64984,0,0.00192674,0.00192674,0.00192674
39,191.681,2.45253,2.54893,2.51374,2.56202,0,0.01414,0.13636,0.00479,0.00106,0.00077,0.04545,4e-05,1e-05,3.51781,2.30103,3.32088,3.49313,0,0.00192476,0.00192476,0.00192476
40,196.109,2.46208,2.73259,2.57776,2.61698,0,0.00516,0.29545,0.00532,0.00145,0,0,0,0,3.64724,2.37419,3.13471,3.561,0,0.00192278,0.00192278,0.00192278
41,200.534,2.44227,2.57527,2.5493,2.58993,0,0.01384,0.25,0.0142,0.00375,0.00041,0.02273,1e-05,0,3.69196,2.35294,2.95054,3.64752,0,0.0019208,0.0019208,0.0019208
42,204.944,2.53363,2.65423,2.55574,2.61269,0,0.05493,0.04545,0.03236,0.01241,0,0,0,0,3.3107,2.20051,2.80769,3.46507,0,0.00191882,0.00191882,0.00191882
43,209.387,2.46172,2.54257,2.52407,2.5655,0,0.05493,0.04545,0.03236,0.01241,0,0,0,0,3.3107,2.20051,2.80769,3.46507,0,0.00191684,0.00191684,0.00191684
44,213.799,2.36334,2.39211,2.41102,2.52813,0,0.08376,0.15909,0.07354,0.01815,0,0,0,0,2.90875,2.16567,3.10565,3.09065,0,0.00191486,0.00191486,0.00191486
45,218.437,2.45551,2.46146,2.45077,2.57977,0,0.05395,0.15909,0.03965,0.00995,0,0,0,0,2.81652,2.14109,3.64232,2.95044,0,0.00191288,0.00191288,0.00191288
