epoch,time,train_loss,val_dice,lr
1,12.7,1.89684,,1.516e-05
2,24.3,1.74515,,2.449e-05
3,36.3,1.58848,,3.959e-05
4,48.4,1.48395,,5.980e-05
5,61.4,1.35811,0.00292,8.422e-05
6,73.5,1.32918,,1.118e-04
7,85.7,1.24228,,1.413e-04
8,97.9,1.15006,,1.715e-04
9,110.1,1.1338,,2.009e-04
10,123.3,0.97429,0.12728,2.284e-04
11,135.5,0.97586,,2.528e-04
12,147.7,0.95531,,2.729e-04
13,160.0,0.8341,,2.878e-04
14,172.2,0.80434,,2.970e-04
15,185.4,0.78402,0.31826,3.000e-04
16,197.6,0.75744,,3.000e-04
17,209.8,0.72682,,3.000e-04
18,222.0,0.73114,,2.999e-04
19,234.2,0.72023,,2.999e-04
20,247.3,0.66411,0.44711,2.998e-04
21,259.5,0.62646,,2.997e-04
22,271.7,0.64163,,2.996e-04
23,284.0,0.5714,,2.994e-04
24,296.2,0.58041,,2.993e-04
25,309.1,0.57014,0.39022,2.991e-04
26,321.3,0.57519,,2.989e-04
27,333.4,0.56814,,2.987e-04
28,345.6,0.51944,,2.985e-04
29,357.8,0.5156,,2.982e-04
30,371.1,0.487,0.48934,2.979e-04
31,383.3,0.54627,,2.977e-04
32,395.5,0.56462,,2.974e-04
33,407.7,0.49411,,2.970e-04
34,419.9,0.53439,,2.967e-04
35,432.8,0.46593,0.46837,2.964e-04
36,444.9,0.40662,,2.960e-04
37,457.0,0.49053,,2.956e-04
38,469.2,0.46374,,2.952e-04
39,481.4,0.49846,,2.948e-04
40,494.3,0.46523,0.48082,2.943e-04
41,506.6,0.47641,,2.939e-04
42,518.8,0.45863,,2.934e-04
43,531.0,0.47958,,2.929e-04
44,543.1,0.44378,,2.924e-04
45,556.4,0.47281,0.51833,2.919e-04
46,568.5,0.41439,,2.913e-04
47,580.6,0.4224,,2.907e-04
48,592.7,0.46019,,2.902e-04
49,604.9,0.42632,,2.896e-04
50,617.7,0.44064,0.47862,2.890e-04
51,629.8,0.34937,,2.883e-04
52,642.0,0.39336,,2.877e-04
53,654.1,0.51653,,2.870e-04
54,666.3,0.44006,,2.863e-04
55,679.1,0.42494,0.44068,2.856e-04
56,691.3,0.39363,,2.849e-04
57,703.4,0.43925,,2.842e-04
58,715.6,0.46615,,2.834e-04
59,727.7,0.35614,,2.827e-04
60,740.9,0.46964,0.53431,2.819e-04
61,753.0,0.40579,,2.811e-04
62,765.2,0.43347,,2.803e-04
63,777.3,0.44477,,2.795e-04
64,789.5,0.3688,,2.786e-04
65,802.3,0.44306,0.50169,2.778e-04
66,814.5,0.41544,,2.769e-04
67,827.0,0.44796,,2.760e-04
68,839.2,0.37978,,2.751e-04
69,852.0,0.39434,,2.742e-04
70,865.1,0.4058,0.49877,2.732e-04
71,877.6,0.37063,,2.723e-04
72,891.4,0.39845,,2.713e-04
