epoch,time,train_loss,val_dice,lr
73,904.9,0.36728,,2.703e-04
74,918.7,0.3579,,2.694e-04
75,932.8,0.34351,0.52712,2.683e-04
76,948.1,0.36553,,2.673e-04
77,963.7,0.41769,,2.663e-04
78,979.3,0.37292,,2.652e-04
79,995.0,0.43107,,2.642e-04
80,1011.5,0.4252,0.51247,2.631e-04
81,1026.3,0.3645,,2.620e-04
82,1042.3,0.34234,,2.609e-04
83,1056.8,0.39263,,2.598e-04
84,1069.6,0.34469,,2.586e-04
85,1083.1,0.403,0.54730,2.575e-04
86,1095.3,0.33619,,2.563e-04
87,1107.4,0.36578,,2.552e-04
88,1119.6,0.40872,,2.540e-04
89,1131.7,0.44182,,2.528e-04
90,1144.6,0.32613,0.53649,2.516e-04
91,1156.7,0.37347,,2.503e-04
92,1168.9,0.38092,,2.491e-04
93,1181.0,0.38678,,2.479e-04
94,1193.2,0.35871,,2.466e-04
95,1205.9,0.3671,0.50688,2.453e-04
96,1218.1,0.36523,,2.440e-04
97,1230.2,0.40634,,2.427e-04
98,1242.3,0.40105,,2.414e-04
99,1254.5,0.36342,,2.401e-04
100,1267.3,0.37373,0.49877,2.388e-04
101,1279.4,0.42349,,2.375e-04
102,1291.5,0.35595,,2.361e-04
103,1303.7,0.4284,,2.348e-04
104,1315.8,0.36122,,2.334e-04
105,1328.6,0.36828,0.53697,2.320e-04
106,1340.7,0.33502,,2.306e-04
107,1352.9,0.36279,,2.292e-04
108,1365.0,0.37193,,2.278e-04
109,1377.1,0.4048,,2.264e-04
110,1389.9,0.33948,0.54346,2.250e-04
111,1402.5,0.325,,2.235e-04
112,1414.8,0.30813,,2.221e-04
113,1427.0,0.36358,,2.206e-04
114,1439.3,0.39614,,2.192e-04
115,1452.1,0.32947,0.51028,2.177e-04
116,1464.2,0.34189,,2.162e-04
117,1476.4,0.3216,,2.147e-04
118,1488.5,0.38978,,2.132e-04
119,1500.6,0.37174,,2.117e-04
120,1513.5,0.33376,0.54026,2.102e-04
121,1525.6,0.33199,,2.087e-04
122,1537.8,0.31435,,2.072e-04
123,1549.9,0.30634,,2.056e-04
124,1562.0,0.35061,,2.041e-04
125,1574.8,0.31645,0.53007,2.026e-04
126,1587.0,0.31454,,2.010e-04
127,1599.2,0.38639,,1.994e-04
128,1611.3,0.36893,,1.979e-04
129,1623.5,0.3565,,1.963e-04
130,1636.3,0.36054,0.53803,1.947e-04
131,1648.4,0.30543,,1.932e-04
132,1660.6,0.37719,,1.916e-04
133,1672.7,0.33185,,1.900e-04
134,1684.9,0.32238,,1.884e-04
135,1697.7,0.37305,0.53739,1.868e-04
136,1709.9,0.33413,,1.852e-04
137,1722.0,0.32833,,1.836e-04
138,1734.1,0.35743,,1.820e-04
139,1746.3,0.33421,,1.803e-04
140,1759.1,0.31818,0.54114,1.787e-04
141,1771.2,0.32314,,1.771e-04
142,1783.4,0.35984,,1.755e-04
143,1795.5,0.31654,,1.738e-04
144,1807.7,0.28553,,1.722e-04
145,1820.8,0.33695,0.55921,1.706e-04
146,1833.0,0.34309,,1.689e-04
147,1845.1,0.30431,,1.673e-04
148,1857.2,0.28302,,1.656e-04
149,1869.3,0.29627,,1.640e-04
150,1882.1,0.3244,0.48196,1.623e-04
151,1894.2,0.38417,,1.607e-04
152,1906.4,0.3283,,1.590e-04
153,1918.5,0.30704,,1.574e-04
154,1930.6,0.32675,,1.557e-04
155,1943.5,0.32764,0.54363,1.541e-04
156,1955.6,0.29956,,1.524e-04
157,1967.7,0.28081,,1.508e-04
158,1979.9,0.35491,,1.491e-04
159,1992.0,0.3069,,1.475e-04
160,2004.8,0.2771,0.55559,1.458e-04
161,2017.0,0.32984,,1.442e-04
162,2029.1,0.31958,,1.425e-04
163,2041.2,0.32621,,1.409e-04
164,2053.4,0.30679,,1.392e-04
165,2066.5,0.28448,0.57521,1.376e-04
166,2078.7,0.28991,,1.359e-04
167,2090.9,0.27121,,1.343e-04
168,2103.0,0.3384,,1.326e-04
169,2115.2,0.29791,,1.310e-04
170,2128.0,0.33859,0.57377,1.294e-04
171,2140.2,0.33188,,1.277e-04
172,2152.3,0.29082,,1.261e-04
173,2164.5,0.31817,,1.245e-04
174,2176.7,0.31896,,1.228e-04
175,2189.8,0.30961,0.57777,1.212e-04
176,2202.0,0.30163,,1.196e-04
177,2214.1,0.30963,,1.180e-04
178,2226.3,0.28257,,1.164e-04
179,2238.5,0.27464,,1.147e-04
180,2251.3,0.33007,0.56731,1.131e-04
181,2263.4,0.28813,,1.115e-04
182,2275.6,0.27267,,1.099e-04
183,2287.8,0.29759,,1.083e-04
184,2300.0,0.28891,,1.068e-04
185,2312.8,0.2636,0.55148,1.052e-04
186,2325.0,0.28761,,1.036e-04
187,2337.1,0.30083,,1.020e-04
188,2349.5,0.26276,,1.005e-04
189,2362.2,0.31637,,9.892e-05
190,2375.0,0.29215,0.56658,9.737e-05
191,2387.4,0.30459,,9.582e-05
192,2399.5,0.28579,,9.428e-05
193,2412.1,0.22901,,9.275e-05
194,2424.8,0.30761,,9.123e-05
195,2438.3,0.25573,0.58108,8.971e-05
196,2450.5,0.29991,,8.820e-05
197,2462.7,0.3319,,8.669e-05
198,2475.4,0.29053,,8.520e-05
199,2488.0,0.26341,,8.371e-05
200,2501.7,0.32624,0.58499,8.223e-05
201,2513.9,0.26333,,8.076e-05
202,2526.2,0.28458,,7.930e-05
203,2539.1,0.28075,,7.785e-05
204,2551.9,0.28702,,7.640e-05
205,2565.7,0.29227,0.59236,7.496e-05
206,2578.1,0.2967,,7.354e-05
207,2590.9,0.24068,,7.212e-05
208,2603.4,0.25102,,7.071e-05
209,2615.9,0.25996,,6.931e-05
210,2629.3,0.26336,0.57444,6.792e-05
211,2642.0,0.26319,,6.654e-05
212,2654.7,0.27958,,6.518e-05
213,2667.3,0.27133,,6.382e-05
214,2680.0,0.26268,,6.247e-05
215,2693.3,0.25618,0.57298,6.113e-05
216,2706.1,0.27216,,5.980e-05
217,2718.6,0.2833,,5.849e-05
218,2731.8,0.27538,,5.718e-05
219,2744.1,0.26183,,5.589e-05
220,2757.9,0.26141,0.56660,5.461e-05
221,2770.4,0.2681,,5.334e-05
222,2782.9,0.26253,,5.208e-05
223,2795.8,0.24916,,5.083e-05
224,2808.3,0.23863,,4.960e-05
225,2821.7,0.21287,0.55462,4.838e-05
226,2834.5,0.26895,,4.717e-05
227,2847.0,0.25557,,4.597e-05
228,2859.6,0.27234,,4.479e-05
229,2872.3,0.26233,,4.361e-05
230,2885.6,0.28454,0.56863,4.245e-05
231,2898.5,0.24874,,4.131e-05
232,2911.7,0.25293,,4.018e-05
233,2924.8,0.24481,,3.906e-05
234,2937.4,0.24282,,3.795e-05
235,2950.8,0.25614,0.53084,3.686e-05
236,2963.5,0.24628,,3.578e-05
237,2976.5,0.2521,,3.471e-05
238,2989.4,0.25684,,3.366e-05
239,3002.3,0.26147,,3.263e-05
240,3015.8,0.23828,0.54795,3.160e-05
241,3028.4,0.24787,,3.060e-05
242,3041.5,0.26527,,2.960e-05
243,3054.2,0.25204,,2.862e-05
244,3066.9,0.25576,,2.766e-05
245,3080.3,0.22023,0.56351,2.671e-05
246,3093.8,0.28043,,2.578e-05
247,3106.3,0.28645,,2.486e-05
248,3119.4,0.25722,,2.395e-05
249,3132.2,0.23428,,2.306e-05
250,3145.7,0.24857,0.58445,2.219e-05
251,3158.4,0.2359,,2.133e-05
252,3171.1,0.25937,,2.049e-05
253,3183.8,0.26375,,1.966e-05
254,3197.1,0.24964,,1.885e-05
255,3211.0,0.23547,0.57773,1.806e-05
256,3224.3,0.22498,,1.728e-05
257,3236.8,0.23674,,1.652e-05
258,3249.7,0.22506,,1.577e-05
259,3262.6,0.23661,,1.504e-05
260,3276.4,0.2278,0.56421,1.433e-05
261,3289.3,0.26107,,1.363e-05
262,3302.4,0.23967,,1.295e-05
263,3315.6,0.27228,,1.229e-05
264,3328.6,0.24439,,1.164e-05
265,3342.4,0.22884,0.56510,1.101e-05
266,3355.6,0.23742,,1.040e-05
267,3368.4,0.23363,,9.801e-06
268,3381.6,0.21799,,9.222e-06
269,3394.9,0.23331,,8.660e-06
270,3408.3,0.26079,0.57591,8.115e-06
271,3421.2,0.26398,,7.587e-06
272,3434.1,0.24009,,7.077e-06
273,3446.9,0.23545,,6.583e-06
274,3459.7,0.26922,,6.108e-06
275,3473.2,0.20687,0.57495,5.649e-06
276,3486.6,0.26168,,5.209e-06
277,3499.7,0.21183,,4.786e-06
278,3512.2,0.24224,,4.380e-06
279,3524.4,0.23205,,3.992e-06
280,3537.8,0.21865,0.56760,3.622e-06
281,3550.1,0.25358,,3.270e-06
282,3562.4,0.23121,,2.936e-06
283,3575.4,0.25157,,2.619e-06
284,3588.0,0.25711,,2.321e-06
285,3601.1,0.23334,0.57490,2.040e-06
286,3613.5,0.21556,,1.777e-06
287,3625.4,0.22943,,1.533e-06
288,3637.1,0.24152,,1.306e-06
289,3648.3,0.25029,,1.097e-06
290,3660.1,0.21147,0.56799,9.069e-07
291,3671.5,0.24208,,7.346e-07
292,3683.2,0.24708,,5.803e-07
293,3694.3,0.22721,,4.443e-07
294,3705.6,0.2466,,3.264e-07
295,3717.6,0.2384,0.56942,2.266e-07
296,3728.7,0.2133,,1.451e-07
297,3739.8,0.26365,,8.182e-08
298,3750.7,0.25626,,3.672e-08
299,3761.5,0.24733,,9.852e-09
300,3772.9,0.22101,0.57526,1.206e-09
