epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4417,2.65766,5.07783,3.37597,2.51338,0,0.00818,0.61364,0.01227,0.00283,0,0,0,0,3.2479,3.31154,3.18531,3.1335,0,0.000615385,0.000615385,0.000615385
2,30.3115,2.63671,4.87564,3.29841,2.43846,0,0.00818,0.61364,0.0095,0.00187,0,0,0,0,3.24501,3.06933,3.30863,3.06301,0,0.00128078,0.00128078,0.00128078
3,34.1775,2.60951,4.98414,3.24539,2.53112,0,0.00879,0.65909,0.00808,0.00145,0,0,0,0,3.16832,2.85124,3.55397,2.94657,0,0.00194486,0.00194486,0.00194486
4,38.032,2.60335,5.24885,3.3198,2.43787,0,0.00606,0.45455,0.00361,0.00052,0,0,0,0,3.22334,2.75873,3.80434,2.94091,0,0.00199406,0.00199406,0.00199406
5,41.8903,2.72907,5.01765,3.30676,2.58227,0,0.00485,0.36364,0.00203,0.00035,0,0,0,0,3.1941,2.84038,3.88192,2.89852,0,0.00199208,0.00199208,0.00199208
6,45.7661,2.6769,4.94765,3.36272,2.47073,0,0.00485,0.36364,0.00203,0.00035,0,0,0,0,3.1941,2.84038,3.88192,2.89852,0,0.0019901,0.0019901,0.0019901
7,49.8918,2.47847,4.98744,3.29728,2.4165,0,0.00455,0.34091,0.00216,0.00047,0,0,0,0,3.20029,2.94827,3.97464,2.92784,0,0.00198812,0.00198812,0.00198812
8,53.9691,2.9394,4.79009,8.36574,2.71641,0,0.00526,0.29545,0.00185,0.00024,0,0,0,0,4.158,28.738,174.259,7.16257,0,0.00198614,0.00198614,0.00198614
9,58.198,3.19425,4.16136,10.3357,2.9192,0,0.00696,0.29545,0.00286,0.00048,0,0,0,0,nan,nan,nan,nan,0,0.00198416,0.00198416,0.00198416
10,62.457,3.23658,3.68679,4.50726,3.03226,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198218,0.00198218,0.00198218
11,66.7857,3.17674,5.593,3.12887,3.02936,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019802,0.0019802,0.0019802
12,71.0968,3.24173,4.01845,3.08686,3.08711,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197822,0.00197822,0.00197822
13,75.4183,3.24892,3.56913,3.0345,3.05886,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197624,0.00197624,0.00197624
14,79.7858,3.16306,3.23147,2.93878,3.07858,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197426,0.00197426,0.00197426
15,84.0945,3.04985,3.13281,3.04383,3.03207,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197228,0.00197228,0.00197228
16,88.519,2.86735,3.41355,3.08005,2.86336,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019703,0.0019703,0.0019703
17,93.0156,3.02857,3.2115,2.95514,2.97815,0,0.00031,0.02273,1e-05,0,0,0,0,0,nan,nan,nan,nan,0,0.00196832,0.00196832,0.00196832
18,97.3371,2.98749,3.00213,2.88061,2.94432,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00196634,0.00196634,0.00196634
19,101.797,2.86324,3.09041,2.78774,2.86236,0,0,0,0,0,0,0,0,0,4.683,77.4634,3345.94,9.7645,0,0.00196436,0.00196436,0.00196436
20,106.262,2.95274,3.04948,2.77477,2.93937,0,0.0037,0.11364,0.00101,0.00018,0,0,0,0,4.21283,75.6046,16.0077,7.25128,0,0.00196238,0.00196238,0.00196238
21,110.898,2.78266,2.96215,2.65658,2.85779,0,0.00436,0.15909,0.00186,0.00041,0,0,0,0,4.38059,61.3457,4.27788,9.9124,0,0.0019604,0.0019604,0.0019604
22,115.098,2.82551,2.83149,2.66664,2.8925,0,0.00436,0.15909,0.00186,0.00041,0,0,0,0,4.38059,61.3457,4.27788,9.9124,0,0.00195842,0.00195842,0.00195842
23,119.455,2.74785,2.85443,2.55813,2.87449,0,0.00981,0.02273,0.00158,0.0004,0,0,0,0,4.48951,15.3795,4.03694,5.15733,0,0.00195644,0.00195644,0.00195644
24,123.848,2.8363,2.88447,2.60717,2.89856,0,0.00494,0.11364,0.00172,0.00046,0,0,0,0,3.96418,76.8228,4.15769,6.41191,0,0.00195446,0.00195446,0.00195446
25,128.286,2.73137,2.80343,2.66331,2.81622,0,0.00333,0.25,0.00167,0.00026,0,0,0,0,4.01945,180.27,9.49903,9.08363,0,0.00195248,0.00195248,0.00195248
26,132.655,2.65765,2.81287,2.61824,2.80514,0,0.00225,0.15909,0.00424,0.00079,0,0,0,0,4.12178,33.2449,3.34252,4.998,0,0.0019505,0.0019505,0.0019505
27,137.167,2.70929,2.75191,2.58079,2.75239,0,0.00225,0.15909,0.00424,0.00079,0,0,0,0,4.12178,33.2449,3.34252,4.998,0,0.00194852,0.00194852,0.00194852
28,141.621,2.74223,2.76482,2.60365,2.7432,0,0.00707,0.13636,0.0043,0.00102,0,0,0,0,4.05503,363.785,3.09169,4.97936,0,0.00194654,0.00194654,0.00194654
29,146.011,2.60366,2.74445,2.57159,2.77936,0,0.00338,0.18182,0.00416,0.00085,0,0,0,0,5.12892,231.743,3.67672,21.2248,0,0.00194456,0.00194456,0.00194456
30,150.366,2.71033,2.73589,2.59995,2.78698,0,0.00373,0.13636,0.00242,0.00066,0,0,0,0,4.48427,63.9342,4.34797,7.91813,0,0.00194258,0.00194258,0.00194258
31,154.807,2.5866,2.72112,2.57064,2.73116,0,0.0086,0.13636,0.0081,0.00183,0,0,0,0,3.93515,20.1017,3.77884,4.6371,0,0.0019406,0.0019406,0.0019406
32,159.194,2.65829,2.81279,2.61141,2.69583,0,0.0086,0.13636,0.0081,0.00183,0,0,0,0,3.93515,20.1017,3.77884,4.6371,0,0.00193862,0.00193862,0.00193862
33,163.547,2.58214,2.73664,2.62688,2.73691,0,0.01861,0.04545,0.01855,0.0057,0,0,0,0,3.82954,15.8191,4.0523,5.53536,0,0.00193664,0.00193664,0.00193664
34,167.962,2.58472,2.75874,2.59841,2.71332,0,0.10583,0.20455,0.05361,0.01261,0,0,0,0,3.61218,13.5666,4.04865,5.55214,0,0.00193466,0.00193466,0.00193466
35,172.566,2.52933,2.65709,2.55354,2.61654,0,0.13479,0.2373,0.06908,0.01599,0.0003,0.02273,4e-05,0,3.70688,3.91357,3.30482,4.9145,0,0.00193268,0.00193268,0.00193268
36,177.198,2.55728,2.69741,2.55008,2.69874,0,0.05737,0.15909,0.0403,0.01184,0,0,0,0,3.20632,3.13459,3.38828,4.21377,0,0.0019307,0.0019307,0.0019307
37,181.681,2.57991,2.64168,2.52511,2.62616,0,0.0632,0.25,0.05583,0.0117,0.0003,0.02273,4e-05,0,3.05078,2.12431,3.01038,3.30952,0,0.00192872,0.00192872,0.00192872
38,186.128,2.39275,2.54504,2.44297,2.61172,0,0.0632,0.25,0.05583,0.0117,0.0003,0.02273,4e-05,0,3.05078,2.12431,3.01038,3.30952,0,0.00192674,0.00192674,0.00192674
39,190.488,2.50636,2.56242,2.47498,2.65977,0,0.06696,0.18182,0.08036,0.02641,0.0003,0.02273,2e-05,0,2.84539,2.07697,2.97225,3.11278,0,0.00192476,0.00192476,0.00192476
40,194.998,2.43606,2.52485,2.5374,2.60046,0,0.063,0.18182,0.07197,0.02094,0.0003,0.02273,1e-05,0,2.79584,2.05264,3.00326,3.04217,0,0.00192278,0.00192278,0.00192278
41,199.41,2.54552,2.70265,2.50376,2.60152,0,0.0936,0.20455,0.08207,0.02277,0.00152,0.11364,0.0002,2e-05,2.83526,2.05502,2.92543,3.04284,0,0.0019208,0.0019208,0.0019208
42,204.021,2.50051,2.50628,2.47954,2.61491,0,0.04619,0.54545,0.10453,0.0285,0.00121,0.09091,0.00021,4e-05,2.84966,1.98713,2.71625,3.01575,0,0.00191882,0.00191882,0.00191882
43,208.442,2.40973,2.36407,2.46169,2.58429,0,0.04619,0.54545,0.10453,0.0285,0.00121,0.09091,0.00021,4e-05,2.84966,1.98713,2.71625,3.01575,0,0.00191684,0.00191684,0.00191684
44,213.054,2.43626,2.49351,2.46498,2.58788,0,0.05416,0.5,0.11245,0.03426,0.00093,0.06818,0.00013,3e-05,2.69639,1.9913,2.79669,2.91782,0,0.00191486,0.00191486,0.00191486
45,217.46,2.48615,2.51912,2.49259,2.61932,0,0.05923,0.31818,0.11145,0.03267,0.00094,0.06818,9e-05,2e-05,2.66947,2.01926,2.82352,2.89324,0,0.00191288,0.00191288,0.00191288
46,222.03,2.41524,2.48673,2.50506,2.59063,0,0.09851,0.34091,0.15073,0.04402,0.00092,0.06818,0.00011,2e-05,2.62519,2.12841,3.1885,2.8465,0,0.0019109,0.0019109,0.0019109
47,226.524,2.38954,2.49153,2.40941,2.54691,0,0.12246,0.29545,0.10174,0.0328,0.00132,0.09091,0.00025,5e-05,2.73924,2.15472,3.24919,2.93853,0,0.00190892,0.00190892,0.00190892
48,231.084,2.43917,2.56083,2.38548,2.50784,0,0.12246,0.29545,0.10174,0.0328,0.00132,0.09091,0.00025,5e-05,2.73924,2.15472,3.24919,2.93853,0,0.00190694,0.00190694,0.00190694
49,235.528,2.37419,2.43464,2.49096,2.51867,0,0.08246,0.11364,0.07362,0.01766,0.00091,0.06818,0.0001,2e-05,2.88553,2.20871,3.54537,3.11599,0,0.00190496,0.00190496,0.00190496
50,239.882,2.36451,2.5145,2.38887,2.50372,0,0.11194,0.13636,0.10603,0.02582,0.00121,0.09091,0.00016,3e-05,2.78074,2.17614,3.00097,2.96337,0,0.00190298,0.00190298,0.00190298
51,244.315,2.3392,2.44064,2.44984,2.50113,0,0.1278,0.36632,0.13358,0.03901,0.00152,0.11364,0.00043,9e-05,2.72666,2.02928,2.69202,2.88619,0,0.001901,0.001901,0.001901
52,248.826,2.34744,2.42339,2.39377,2.43105,0,0.08251,0.45455,0.09996,0.02995,0.00152,0.11364,0.00096,0.00016,2.8015,1.9916,2.71827,2.98837,0,0.00189902,0.00189902,0.00189902
53,253.257,2.46969,2.47669,2.45074,2.54026,0,0.13659,0.11364,0.07765,0.03039,0.00212,0.15909,0.0011,0.00018,2.54906,1.92998,2.78908,2.72666,0,0.00189704,0.00189704,0.00189704
54,257.718,2.37843,2.39068,2.38601,2.47066,0,0.13659,0.11364,0.07765,0.03039,0.00212,0.15909,0.0011,0.00018,2.54906,1.92998,2.78908,2.72666,0,0.00189506,0.00189506,0.00189506
55,262.244,2.28518,2.4274,2.40097,2.40385,0,0.05945,0.06818,0.06692,0.02582,0.00182,0.13636,0.00043,9e-05,2.53576,1.90948,2.83639,2.69747,0,0.00189308,0.00189308,0.00189308
56,266.63,2.43907,2.44036,2.42545,2.51378,0,0.14339,0.22727,0.09683,0.03467,0.00152,0.11364,0.00022,4e-05,2.53022,1.89511,2.84495,2.67133,0,0.0018911,0.0018911,0.0018911
57,271.191,2.30499,2.40141,2.41198,2.44528,0,0.11246,0.34091,0.12059,0.04225,0.00121,0.09091,0.00012,2e-05,2.50169,1.92079,2.80408,2.64536,0,0.00188912,0.00188912,0.00188912
58,275.634,2.27769,2.34754,2.39704,2.44865,0,0.11493,0.38636,0.101,0.03615,0.00121,0.09091,0.00018,3e-05,2.53169,1.89847,2.88153,2.68455,0,0.00188714,0.00188714,0.00188714
