epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
34,182.959,2.58472,2.75874,2.59841,2.71332,0,0.10583,0.20455,0.05361,0.01261,0,0,0,0,3.61218,13.5666,4.04865,5.55214,0,0.00193466,0.00193466,0.00193466
35,187.885,2.52933,2.65709,2.55354,2.61654,0,0.13479,0.2373,0.06908,0.01599,0.0003,0.02273,4e-05,0,3.70688,3.91357,3.30482,4.9145,0,0.00193268,0.00193268,0.00193268
36,193.044,2.55728,2.69741,2.55008,2.69874,0,0.05737,0.15909,0.0403,0.01184,0,0,0,0,3.20632,3.13459,3.38828,4.21377,0,0.0019307,0.0019307,0.0019307
37,197.874,2.57991,2.64168,2.52511,2.62616,0,0.0632,0.25,0.05583,0.0117,0.0003,0.02273,4e-05,0,3.05078,2.12431,3.01038,3.30952,0,0.00192872,0.00192872,0.00192872
38,202.819,2.39275,2.54504,2.44297,2.61172,0,0.0632,0.25,0.05583,0.0117,0.0003,0.02273,4e-05,0,3.05078,2.12431,3.01038,3.30952,0,0.00192674,0.00192674,0.00192674
39,207.898,2.50636,2.56242,2.47498,2.65977,0,0.06696,0.18182,0.08036,0.02641,0.0003,0.02273,2e-05,0,2.84539,2.07697,2.97225,3.11278,0,0.00192476,0.00192476,0.00192476
40,212.974,2.43606,2.52485,2.5374,2.60046,0,0.063,0.18182,0.07197,0.02094,0.0003,0.02273,1e-05,0,2.79584,2.05264,3.00326,3.04217,0,0.00192278,0.00192278,0.00192278
41,217.792,2.54552,2.70265,2.50376,2.60152,0,0.0936,0.20455,0.08207,0.02277,0.00152,0.11364,0.0002,2e-05,2.83526,2.05502,2.92543,3.04284,0,0.0019208,0.0019208,0.0019208
42,222.751,2.50051,2.50628,2.47954,2.61491,0,0.04619,0.54545,0.10453,0.0285,0.00121,0.09091,0.00021,4e-05,2.84966,1.98713,2.71625,3.01575,0,0.00191882,0.00191882,0.00191882
43,227.669,2.40973,2.36407,2.46169,2.58429,0,0.04619,0.54545,0.10453,0.0285,0.00121,0.09091,0.00021,4e-05,2.84966,1.98713,2.71625,3.01575,0,0.00191684,0.00191684,0.00191684
44,232.634,2.43626,2.49351,2.46498,2.58788,0,0.05416,0.5,0.11245,0.03426,0.00093,0.06818,0.00013,3e-05,2.69639,1.9913,2.79669,2.91782,0,0.00191486,0.00191486,0.00191486
45,237.686,2.48615,2.51912,2.49259,2.61932,0,0.05923,0.31818,0.11145,0.03267,0.00094,0.06818,9e-05,2e-05,2.66947,2.01926,2.82352,2.89324,0,0.00191288,0.00191288,0.00191288
46,242.742,2.41524,2.48673,2.50506,2.59063,0,0.09851,0.34091,0.15073,0.04402,0.00092,0.06818,0.00011,2e-05,2.62519,2.12841,3.1885,2.8465,0,0.0019109,0.0019109,0.0019109
47,247.729,2.38954,2.49153,2.40941,2.54691,0,0.12246,0.29545,0.10174,0.0328,0.00132,0.09091,0.00025,5e-05,2.73924,2.15472,3.24919,2.93853,0,0.00190892,0.00190892,0.00190892
48,252.661,2.43917,2.56083,2.38548,2.50784,0,0.12246,0.29545,0.10174,0.0328,0.00132,0.09091,0.00025,5e-05,2.73924,2.15472,3.24919,2.93853,0,0.00190694,0.00190694,0.00190694
49,257.523,2.37419,2.43464,2.49096,2.51867,0,0.08246,0.11364,0.07362,0.01766,0.00091,0.06818,0.0001,2e-05,2.88553,2.20871,3.54537,3.11599,0,0.00190496,0.00190496,0.00190496
50,262.372,2.36451,2.5145,2.38887,2.50372,0,0.11194,0.13636,0.10603,0.02582,0.00121,0.09091,0.00016,3e-05,2.78074,2.17614,3.00097,2.96337,0,0.00190298,0.00190298,0.00190298
51,267.346,2.3392,2.44064,2.44984,2.50113,0,0.1278,0.36632,0.13358,0.03901,0.00152,0.11364,0.00043,9e-05,2.72666,2.02928,2.69202,2.88619,0,0.001901,0.001901,0.001901
52,272.465,2.34744,2.42339,2.39377,2.43105,0,0.08251,0.45455,0.09996,0.02995,0.00152,0.11364,0.00096,0.00016,2.8015,1.9916,2.71827,2.98837,0,0.00189902,0.00189902,0.00189902
53,277.362,2.46969,2.47669,2.45074,2.54026,0,0.13659,0.11364,0.07765,0.03039,0.00212,0.15909,0.0011,0.00018,2.54906,1.92998,2.78908,2.72666,0,0.00189704,0.00189704,0.00189704
54,282.281,2.37843,2.39068,2.38601,2.47066,0,0.13659,0.11364,0.07765,0.03039,0.00212,0.15909,0.0011,0.00018,2.54906,1.92998,2.78908,2.72666,0,0.00189506,0.00189506,0.00189506
55,287.143,2.28518,2.4274,2.40097,2.40385,0,0.05945,0.06818,0.06692,0.02582,0.00182,0.13636,0.00043,9e-05,2.53576,1.90948,2.83639,2.69747,0,0.00189308,0.00189308,0.00189308
56,292.021,2.43907,2.44036,2.42545,2.51378,0,0.14339,0.22727,0.09683,0.03467,0.00152,0.11364,0.00022,4e-05,2.53022,1.89511,2.84495,2.67133,0,0.0018911,0.0018911,0.0018911
