epoch,time,train_loss,val_dice,lr
158,1653.4,0.29068,,1.491e-04
159,1663.6,0.29288,,1.475e-04
160,1674.6,0.32708,0.50525,1.458e-04
161,1684.8,0.30627,,1.442e-04
162,1695.0,0.34438,,1.425e-04
163,1705.2,0.34992,,1.409e-04
164,1715.4,0.31916,,1.392e-04
165,1726.3,0.3214,0.55781,1.376e-04
166,1736.5,0.29982,,1.359e-04
167,1746.7,0.29433,,1.343e-04
168,1757.1,0.28178,,1.326e-04
169,1767.3,0.31607,,1.310e-04
170,1778.3,0.3199,0.55643,1.294e-04
171,1788.5,0.28639,,1.277e-04
172,1798.9,0.2782,,1.261e-04
173,1809.1,0.28779,,1.245e-04
174,1819.3,0.28083,,1.228e-04
175,1830.6,0.2885,0.59124,1.212e-04
176,1840.8,0.31732,,1.196e-04
177,1851.1,0.31375,,1.180e-04
178,1861.4,0.32515,,1.164e-04
179,1871.6,0.32159,,1.147e-04
180,1882.5,0.30279,0.56796,1.131e-04
181,1892.7,0.2985,,1.115e-04
182,1902.9,0.27434,,1.099e-04
183,1913.3,0.28569,,1.083e-04
184,1923.5,0.31254,,1.068e-04
185,1934.6,0.28325,0.57443,1.052e-04
186,1944.9,0.28752,,1.036e-04
187,1955.1,0.27251,,1.020e-04
188,1965.4,0.28942,,1.005e-04
189,1975.6,0.28261,,9.892e-05
190,1986.6,0.29253,0.55784,9.737e-05
191,1996.9,0.33734,,9.582e-05
192,2007.3,0.27947,,9.428e-05
193,2017.6,0.34331,,9.275e-05
194,2027.9,0.28121,,9.123e-05
195,2038.9,0.30094,0.57290,8.971e-05
196,2049.2,0.25621,,8.820e-05
197,2059.5,0.31042,,8.669e-05
198,2069.8,0.26423,,8.520e-05
199,2080.1,0.24632,,8.371e-05
200,2091.1,0.2584,0.55358,8.223e-05
201,2101.5,0.2852,,8.076e-05
202,2111.8,0.2746,,7.930e-05
203,2122.2,0.29229,,7.785e-05
204,2132.6,0.29024,,7.640e-05
205,2144.0,0.24525,0.59310,7.496e-05
206,2154.4,0.2882,,7.354e-05
207,2164.7,0.25103,,7.212e-05
208,2175.1,0.26648,,7.071e-05
209,2185.5,0.29544,,6.931e-05
210,2196.6,0.30099,0.59175,6.792e-05
211,2207.0,0.30891,,6.654e-05
212,2217.4,0.25367,,6.518e-05
213,2227.8,0.28348,,6.382e-05
214,2238.2,0.26613,,6.247e-05
215,2249.3,0.22015,0.58562,6.113e-05
216,2259.7,0.27828,,5.980e-05
217,2270.1,0.2754,,5.849e-05
218,2280.5,0.25003,,5.718e-05
219,2290.9,0.2869,,5.589e-05
220,2301.8,0.22678,0.59159,5.461e-05
221,2312.2,0.27508,,5.334e-05
222,2322.6,0.26727,,5.208e-05
223,2333.0,0.26404,,5.083e-05
224,2343.4,0.26198,,4.960e-05
225,2354.6,0.26577,0.59107,4.838e-05
226,2365.0,0.2597,,4.717e-05
