epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,858.523,1.55931,1.97281,1.52499,0.40329,0.18011,0.15592,0.05476,1.88169,2.80917,1.33496,0.000370227,0.000370227,0.000370227
2,1556,1.61941,2.0513,1.55713,0.14834,0.1605,0.10843,0.03629,1.96217,3.21665,1.39198,0.000703902,0.000703902,0.000703902
3,2258.15,1.64375,2.10412,1.57891,0.25,0.14278,0.12817,0.04427,1.79164,2.64712,1.30943,0.00100091,0.00100091,0.00100091
