epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
34,169.892,2.48089,2.54398,2.50156,2.61962,0,0.03525,0.15909,0.01575,0.00344,0,0,0,0,3.38094,2.53867,2.93751,3.53543,0,0.00193466,0.00193466,0.00193466
35,174.373,2.50211,2.67451,2.47974,2.60798,0,0.01655,0.15909,0.00869,0.00203,0,0,0,0,3.29276,2.99509,3.64069,3.45277,0,0.00193268,0.00193268,0.00193268
36,178.998,2.59457,2.59052,2.47983,2.65891,0,0.09093,0.36364,0.09922,0.02352,0.00031,0.02273,3e-05,1e-05,2.98937,2.76232,2.91776,3.21901,0,0.0019307,0.0019307,0.0019307
37,183.522,2.47231,2.41053,2.47548,2.62598,0,0.07685,0.31818,0.0882,0.02756,0.00031,0.02273,4e-05,0,2.87392,2.36288,2.87772,3.06538,0,0.00192872,0.00192872,0.00192872
38,188.144,2.44673,2.50994,2.47347,2.61945,0,0.07685,0.31818,0.0882,0.02756,0.00031,0.02273,4e-05,0,2.87392,2.36288,2.87772,3.06538,0,0.00192674,0.00192674,0.00192674
39,192.746,2.42813,2.37487,2.47177,2.59837,0,0.23837,0.15909,0.12707,0.02772,0.00061,0.04545,0.00012,2e-05,3.0677,2.01878,2.89606,3.33077,0,0.00192476,0.00192476,0.00192476
40,197.497,2.46659,2.46759,2.49663,2.64172,0,0.16726,0.15909,0.14533,0.05346,0,0,0,0,2.73774,1.97656,2.82125,3.0107,0,0.00192278,0.00192278,0.00192278
41,202.749,2.45976,2.54115,2.52785,2.65354,0,0.11659,0.18182,0.12245,0.04496,0.00031,0.02273,1e-05,0,2.74249,2.04108,2.97406,3.04592,0,0.0019208,0.0019208,0.0019208
42,209.029,2.40515,2.49652,2.64948,2.63431,0,0.033,0.18182,0.04636,0.01134,0.00061,0.04545,4e-05,1e-05,2.90724,2.043,3.32803,3.18229,0,0.00191882,0.00191882,0.00191882
43,215.018,2.40237,2.48791,2.45115,2.64076,0,0.033,0.18182,0.04636,0.01134,0.00061,0.04545,4e-05,1e-05,2.90724,2.043,3.32803,3.18229,0,0.00191684,0.00191684,0.00191684
44,221.179,2.42194,2.41907,2.37964,2.56391,0,0.06289,0.06818,0.03903,0.01032,0.00061,0.04545,4e-05,1e-05,2.84587,2.17505,3.36874,3.08419,0,0.00191486,0.00191486,0.00191486
45,227.214,2.47468,2.44516,2.5247,2.60763,0,0.07322,0.06818,0.06927,0.02256,0.00062,0.04545,5e-05,1e-05,2.65074,2.03808,2.95324,2.84397,0,0.00191288,0.00191288,0.00191288
46,233.105,2.3813,2.51738,2.50699,2.55173,0,0.06519,0.09091,0.07263,0.02749,0.00121,0.09091,0.00015,2e-05,2.56933,1.91682,2.8257,2.83822,0,0.0019109,0.0019109,0.0019109
47,238.875,2.3411,2.45187,2.41649,2.52258,0,0.03717,0.06818,0.04156,0.01222,0.00152,0.11364,0.00021,2e-05,2.69544,1.86664,2.88758,2.85874,0,0.00190892,0.00190892,0.00190892
48,245.038,2.37962,2.4392,2.40121,2.54841,0,0.03717,0.06818,0.04156,0.01222,0.00152,0.11364,0.00021,2e-05,2.69544,1.86664,2.88758,2.85874,0,0.00190694,0.00190694,0.00190694
49,250.115,2.404,2.446,2.38347,2.5293,0,0.02561,0.56818,0.02945,0.00777,0.00133,0.09091,0.0002,4e-05,2.73183,1.82998,3.09818,2.82772,0,0.00190496,0.00190496,0.00190496
50,255.267,2.34975,2.40618,2.40321,2.54789,0,0.03325,0.34091,0.02516,0.00612,0.00315,0.09091,0.00069,0.0001,2.68914,1.79717,3.34398,2.80749,0,0.00190298,0.00190298,0.00190298
51,259.949,2.32839,2.49959,2.48069,2.54308,0,0.03706,0.20455,0.02759,0.00568,0.00139,0.09091,0.00065,7e-05,2.74078,1.84271,3.34118,2.88967,0,0.001901,0.001901,0.001901
52,264.808,2.38688,2.48711,2.4109,2.49583,0,0.03862,0.29545,0.03589,0.00858,0.00298,0.11364,0.00104,0.00014,2.82355,1.81172,3.2257,2.94767,0,0.00189902,0.00189902,0.00189902
53,270.047,2.26939,2.37136,2.37272,2.44791,0,0.10021,0.38636,0.09222,0.02598,0.00183,0.13636,0.00069,9e-05,2.75313,1.82298,2.71176,2.92853,0,0.00189704,0.00189704,0.00189704
