epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
33,204.408,2.53537,2.73632,2.53999,2.68803,0,0.04634,0.06818,0.0219,0.00671,0.00061,0.02273,0.00014,1e-05,3.27096,3.14226,3.69765,5.1477,0,0.0017888,0.0017888,0.0017888
34,209.986,2.46894,2.60903,2.51786,2.68358,0,0.0118,0.11364,0.01004,0.00127,0.00087,0.02273,0.00027,3e-05,4.06997,6.47145,4.32026,6.8383,0,0.0017822,0.0017822,0.0017822
35,215.695,2.53512,2.77963,2.4966,2.6815,0,0.02785,0.06818,0.02943,0.00541,0,0,0,0,3.32993,2.56967,3.22066,4.2284,0,0.0017756,0.0017756,0.0017756
36,221.206,2.58297,2.68295,2.45521,2.69368,0,0.01851,0.15909,0.02645,0.00631,0,0,0,0,3.02197,2.30554,2.90246,3.31092,0,0.001769,0.001769,0.001769
37,226.822,2.52673,2.48109,2.48742,2.72786,0,0.04647,0.54545,0.05162,0.0118,0.00031,0.02273,6e-05,1e-05,2.87007,2.22812,2.73678,3.13892,0,0.0017624,0.0017624,0.0017624
38,232.654,2.44978,2.5401,2.48859,2.6859,0,0.04647,0.54545,0.05162,0.0118,0.00031,0.02273,6e-05,1e-05,2.87007,2.22812,2.73678,3.13892,0,0.0017558,0.0017558,0.0017558
39,238.327,2.47497,2.4667,2.487,2.64552,0,0.12406,0.34443,0.18676,0.05303,0.00031,0.02273,5e-05,1e-05,2.83735,2.06726,2.52848,3.06213,0,0.0017492,0.0017492,0.0017492
40,244.094,2.51168,2.53141,2.49522,2.6647,0,0.13721,0.36364,0.1815,0.0489,0.00091,0.06818,0.00015,2e-05,2.83188,1.96773,2.59388,3.06582,0,0.0017426,0.0017426,0.0017426
41,249.694,2.51585,2.61896,2.53897,2.66698,0,0.13925,0.09091,0.09126,0.03624,0.00121,0.09091,0.00015,2e-05,2.80322,2.01238,2.64106,3.08991,0,0.001736,0.001736,0.001736
42,255.268,2.44649,2.5992,2.64249,2.6589,0,0.01577,0.52273,0.02752,0.00679,0.00121,0.09091,0.00017,2e-05,2.95165,2.07635,2.93876,3.22707,0,0.0017294,0.0017294,0.0017294
43,260.789,2.36096,2.55088,2.49923,2.60409,0,0.01577,0.52273,0.02752,0.00679,0.00121,0.09091,0.00017,2e-05,2.95165,2.07635,2.93876,3.22707,0,0.0017228,0.0017228,0.0017228
44,266.396,2.43422,2.48626,2.38937,2.58704,0,0.02382,0.47727,0.03857,0.00872,0.00121,0.09091,0.00013,1e-05,3.08959,2.03308,3.00013,3.32533,0,0.0017162,0.0017162,0.0017162
45,271.925,2.46861,2.51702,2.52106,2.63845,0,0.01448,0.09091,0.00671,0.0012,0.00061,0.04545,7e-05,1e-05,3.90317,3.67206,3.75445,5.68983,0,0.0017096,0.0017096,0.0017096
46,277.5,2.49424,2.54121,2.53742,2.66196,0,0.00825,0.11364,0.00902,0.00126,0.00033,0.02273,2e-05,1e-05,3.86633,3.30511,3.67334,4.87805,0,0.001703,0.001703,0.001703
47,283.068,2.37176,2.45198,2.4395,2.60406,0,0.0273,0.09091,0.0151,0.0024,0.00036,0.02273,7e-05,2e-05,3.51731,3.08836,3.40845,4.04684,0,0.0016964,0.0016964,0.0016964
48,288.786,2.38417,2.44851,2.40357,2.57574,0,0.0273,0.09091,0.0151,0.0024,0.00036,0.02273,7e-05,2e-05,3.51731,3.08836,3.40845,4.04684,0,0.0016898,0.0016898,0.0016898
49,294.402,2.39136,2.61741,2.41063,2.54529,0,0.06062,0.09091,0.04725,0.00918,0.00072,0.04545,0.00023,6e-05,3.02991,2.7184,2.84193,3.39373,0,0.0016832,0.0016832,0.0016832
50,300.049,2.40387,2.4623,2.40281,2.61019,0,0.06154,0.11364,0.03503,0.01006,0.00066,0.02273,0.00016,3e-05,3.11791,3.27584,3.09209,3.68214,0,0.0016766,0.0016766,0.0016766
51,305.732,2.3621,2.51887,2.49065,2.59565,0,0.03548,0.13636,0.02569,0.00567,0.0003,0.02273,2e-05,1e-05,3.21589,3.73699,3.67736,3.9151,0,0.00167,0.00167,0.00167
52,311.231,2.37957,2.54968,2.37674,2.53685,0,0.0345,0.18182,0.04184,0.00932,0.0003,0.02273,1e-05,1e-05,3.02439,2.82011,3.34397,3.44387,0,0.0016634,0.0016634,0.0016634
53,316.806,2.28691,2.42859,2.41082,2.51198,0,0.13754,0.22727,0.10409,0.03874,0.00031,0.02273,1e-05,0,2.75133,2.2645,3.87437,3.00962,0,0.0016568,0.0016568,0.0016568
54,322.372,2.35698,2.47582,2.48302,2.54231,0,0.13754,0.22727,0.10409,0.03874,0.00031,0.02273,1e-05,0,2.75133,2.2645,3.87437,3.00962,0,0.0016502,0.0016502,0.0016502
55,327.798,2.39786,2.46709,2.40406,2.52332,0,0.15104,0.31818,0.15772,0.04822,0.00031,0.02273,1e-05,0,2.77484,2.17597,3.65,3.03875,0,0.0016436,0.0016436,0.0016436
56,333.415,2.3555,2.51342,2.37658,2.47308,0,0.1422,0.25,0.09375,0.03762,0.0003,0.02273,3e-05,1e-05,2.74289,2.0679,2.89396,3.00663,0,0.001637,0.001637,0.001637
57,338.98,2.29435,2.31337,2.38949,2.47202,0,0.08956,0.10295,0.08122,0.0275,0.0003,0.02273,5e-05,1e-05,2.95035,2.16399,2.87683,3.1478,0,0.0016304,0.0016304,0.0016304
58,344.736,2.28029,2.44479,2.41838,2.45768,0,0.1649,0.09892,0.07428,0.0261,0.00061,0.04545,6e-05,1e-05,2.78329,1.9537,2.92236,3.00472,0,0.0016238,0.0016238,0.0016238
59,350.253,2.29392,2.56084,2.44043,2.47399,0,0.1649,0.09892,0.07428,0.0261,0.00061,0.04545,6e-05,1e-05,2.78329,1.9537,2.92236,3.00472,0,0.0016172,0.0016172,0.0016172
60,355.88,2.29172,2.47008,2.39605,2.48157,0,0.09791,0.22727,0.0521,0.01673,0.00152,0.11364,0.00033,8e-05,2.72125,1.86919,2.94925,2.95979,0,0.0016106,0.0016106,0.0016106
61,361.381,2.23796,2.35309,2.45084,2.45139,0,0.11247,0.31818,0.12898,0.04494,0.00152,0.11364,0.00045,0.00011,2.61085,1.87319,2.84974,2.86118,0,0.001604,0.001604,0.001604
62,367.043,2.21163,2.39577,2.2736,2.3826,0,0.13833,0.27273,0.10616,0.0371,0.00162,0.11364,0.0007,0.00013,2.5536,1.90817,2.72978,2.81159,0,0.0015974,0.0015974,0.0015974
63,372.502,2.22402,2.41597,2.37221,2.459,0,0.14635,0.27273,0.11809,0.03954,0.00299,0.11364,0.00081,0.00012,2.54265,1.8875,2.6197,2.81388,0,0.0015908,0.0015908,0.0015908
64,377.995,2.26239,2.26624,2.29843,2.45031,0,0.14635,0.27273,0.11809,0.03954,0.00299,0.11364,0.00081,0.00012,2.54265,1.8875,2.6197,2.81388,0,0.0015842,0.0015842,0.0015842
65,383.628,2.34247,2.49148,2.42145,2.50666,0,0.14942,0.22727,0.10148,0.03288,0.0063,0.09091,0.00096,0.00016,2.52649,1.80374,2.7214,2.73959,0,0.0015776,0.0015776,0.0015776
66,389.202,2.13432,2.4236,2.34614,2.38057,0,0.08866,0.29545,0.08694,0.0281,0.00478,0.09091,0.00072,0.00014,2.58205,1.80498,2.99567,2.71902,0,0.001571,0.001571,0.001571
67,394.785,2.19955,2.44321,2.33492,2.39103,0,0.09104,0.11364,0.07441,0.02622,0.00182,0.13636,0.00029,5e-05,2.62542,1.88414,3.34833,2.79609,0,0.0015644,0.0015644,0.0015644
