epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1089.33,2.84303,5.40092,3.55808,0.01126,0.31156,0.01709,0.00381,2.44398,5.87693,2.35627,0.00999712,0.00333237,0.00999712,0.00333237,0.00999712,0.00333237,0.00999712,0.00333237
2,2221.89,2.27343,3.45886,2.70002,0.24673,0.09776,0.03513,0.01084,2.04773,4.38513,2.01207,0.0196672,0.00655572,0.0196672,0.00655572,0.0196672,0.00655572,0.0196672,0.00655572
