epoch,time,train_loss,val_dice,lr
161,772.3,0.32844,,1.441e-04
162,776.5,0.34597,,1.424e-04
163,780.6,0.32915,,1.408e-04
164,784.7,0.31399,,1.391e-04
165,789.5,0.30827,0.55984,1.375e-04
166,793.6,0.30561,,1.358e-04
167,798.1,0.30238,,1.342e-04
168,802.5,0.30277,,1.326e-04
169,806.5,0.29844,,1.309e-04
170,811.4,0.30344,0.54422,1.293e-04
171,815.4,0.29067,,1.276e-04
172,819.6,0.29467,,1.260e-04
173,824.1,0.29229,,1.244e-04
174,828.2,0.30119,,1.227e-04
175,833.0,0.29832,0.55535,1.211e-04
176,837.1,0.30249,,1.195e-04
177,841.3,0.28486,,1.179e-04
178,845.9,0.29776,,1.163e-04
179,850.0,0.28873,,1.147e-04
180,854.8,0.28266,0.55169,1.131e-04
181,858.8,0.29441,,1.115e-04
182,863.5,0.28371,,1.099e-04
183,867.6,0.3018,,1.083e-04
184,871.7,0.27857,,1.067e-04
185,876.8,0.28505,0.57793,1.051e-04
186,880.8,0.26632,,1.035e-04
187,885.1,0.30128,,1.020e-04
188,889.2,0.28685,,1.004e-04
189,893.4,0.27905,,9.884e-05
190,898.2,0.30153,0.53300,9.729e-05
191,902.2,0.28821,,9.574e-05
192,906.6,0.30179,,9.420e-05
193,910.7,0.27711,,9.267e-05
194,914.8,0.26705,,9.115e-05
195,919.9,0.26284,0.55030,8.963e-05
196,923.9,0.28482,,8.812e-05
197,928.3,0.28079,,8.662e-05
198,932.4,0.26472,,8.512e-05
199,936.5,0.2702,,8.364e-05
200,941.3,0.26434,0.55798,8.216e-05
201,945.7,0.29237,,8.069e-05
202,950.0,0.25642,,7.922e-05
203,954.0,0.27568,,7.777e-05
204,958.4,0.27037,,7.633e-05
205,963.4,0.25804,0.57243,7.489e-05
206,967.4,0.24121,,7.346e-05
207,971.6,0.25883,,7.205e-05
208,976.2,0.25541,,7.064e-05
209,980.2,0.25869,,6.924e-05
210,985.0,0.24094,0.55796,6.785e-05
211,989.3,0.25004,,6.647e-05
212,993.5,0.25171,,6.511e-05
213,997.8,0.25792,,6.375e-05
214,1002.0,0.24479,,6.240e-05
215,1006.9,0.24727,0.52025,6.106e-05
216,1011.2,0.25097,,5.974e-05
217,1015.3,0.25237,,5.842e-05
218,1019.3,0.25105,,5.712e-05
219,1024.0,0.24397,,5.583e-05
220,1028.7,0.24229,0.54423,5.454e-05
221,1032.8,0.24641,,5.327e-05
222,1037.2,0.23813,,5.202e-05
223,1041.3,0.24068,,5.077e-05
224,1045.4,0.23715,,4.954e-05
225,1050.2,0.25431,0.55680,4.832e-05
226,1054.5,0.24925,,4.711e-05
227,1058.8,0.23508,,4.591e-05
228,1063.1,0.25635,,4.472e-05
229,1067.3,0.23641,,4.355e-05
230,1072.3,0.25137,0.56508,4.240e-05
231,1076.3,0.23634,,4.125e-05
232,1080.7,0.22807,,4.012e-05
233,1084.8,0.25323,,3.900e-05
234,1088.9,0.24014,,3.789e-05
235,1093.6,0.24713,0.54195,3.680e-05
236,1097.8,0.23397,,3.572e-05
237,1102.1,0.25778,,3.466e-05
238,1106.2,0.23692,,3.361e-05
239,1110.8,0.23035,,3.257e-05
240,1115.7,0.23309,0.55453,3.155e-05
241,1119.7,0.22914,,3.054e-05
242,1124.0,0.23338,,2.955e-05
243,1128.5,0.23449,,2.857e-05
244,1132.6,0.2319,,2.761e-05
245,1137.3,0.22088,0.55012,2.666e-05
246,1141.3,0.22361,,2.573e-05
247,1145.5,0.22663,,2.481e-05
248,1150.0,0.2316,,2.391e-05
249,1154.6,0.23305,,2.302e-05
250,1159.5,0.23235,0.56276,2.215e-05
251,1163.5,0.22836,,2.129e-05
252,1167.6,0.22225,,2.045e-05
253,1172.0,0.24037,,1.962e-05
254,1176.2,0.23185,,1.881e-05
255,1181.0,0.23217,0.55887,1.802e-05
256,1185.1,0.24147,,1.724e-05
257,1189.7,0.21936,,1.648e-05
