epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
34,144.452,2.84134,2.49768,2.81719,3.21837,0,0.00931,0.68182,0.00914,0.00171,0,0,0,0,3.19074,4.0944,5.85737,4.29951,0,0.00193466,0.00193466,0.00193466
35,148.36,2.84642,2.54959,2.73937,3.21774,0,0.01569,0.52273,0.02294,0.00484,0,0,0,0,3.01665,2.43451,3.20887,3.68946,0,0.00193268,0.00193268,0.00193268
36,152.217,2.72257,2.34245,2.70929,3.16241,0,0.01124,0.59091,0.02533,0.00438,0,0,0,0,3.09579,2.3863,3.2096,3.50582,0,0.0019307,0.0019307,0.0019307
37,155.997,2.72394,2.44254,2.61249,3.15892,0,0.00918,0.61364,0.00889,0.00199,0,0,0,0,3.1609,2.40674,3.1106,3.42777,0,0.00192872,0.00192872,0.00192872
38,159.741,2.70345,2.31782,2.56066,3.12738,0,0.00918,0.61364,0.00889,0.00199,0,0,0,0,3.1609,2.40674,3.1106,3.42777,0,0.00192674,0.00192674,0.00192674
39,163.619,2.6793,2.41329,2.62494,3.12065,0,0.0181,0.40909,0.01317,0.00326,0,0,0,0,3.02133,2.6825,3.02529,3.3895,0,0.00192476,0.00192476,0.00192476
40,167.389,2.72046,2.38065,2.62965,3.1562,0,0.0132,0.81818,0.02834,0.00621,0,0,0,0,3.00112,2.74581,2.83226,3.41014,0,0.00192278,0.00192278,0.00192278
41,171.281,2.67085,2.46024,2.65027,3.1035,0,0.15113,0.06818,0.07491,0.02025,0,0,0,0,3.06327,2.25595,2.7328,3.32739,0,0.0019208,0.0019208,0.0019208
42,175.138,2.7765,2.42588,2.63584,3.17716,0,0.11886,0.06818,0.07489,0.02082,0,0,0,0,3.11703,2.19929,2.82768,3.34324,0,0.00191882,0.00191882,0.00191882
43,179.153,2.75031,2.43009,2.56923,3.17587,0,0.11886,0.06818,0.07489,0.02082,0,0,0,0,3.11703,2.19929,2.82768,3.34324,0,0.00191684,0.00191684,0.00191684
44,183.062,2.73046,2.45305,2.64818,3.14383,0,0.01195,0.65909,0.03664,0.0093,0.00031,0.02273,1e-05,0,2.92269,2.27129,2.95923,3.29909,0,0.00191486,0.00191486,0.00191486
45,186.959,2.68463,2.37943,2.59722,3.14522,0,0.00745,0.5,0.00944,0.00244,0,0,0,0,2.96091,2.3363,3.41512,3.25337,0,0.00191288,0.00191288,0.00191288
46,190.833,2.61911,2.27371,2.64262,3.05879,0,0.01544,0.15909,0.06132,0.01907,0.0003,0.02273,1e-05,0,2.76385,2.16435,3.22444,3.13429,0,0.0019109,0.0019109,0.0019109
47,194.715,2.67102,2.37121,2.5786,3.05659,0,0.19611,0.09091,0.08329,0.0224,0,0,0,0,2.81674,2.08302,2.92648,3.12776,0,0.00190892,0.00190892,0.00190892
48,198.585,2.62378,2.34352,2.62511,3.0712,0,0.19611,0.09091,0.08329,0.0224,0,0,0,0,2.81674,2.08302,2.92648,3.12776,0,0.00190694,0.00190694,0.00190694
49,202.48,2.6112,2.33814,2.59904,3.06093,0,0.30105,0.09091,0.08472,0.02858,0.00031,0.02273,2e-05,0,2.7577,2.0521,2.89625,3.08101,0,0.00190496,0.00190496,0.00190496
50,206.491,2.54553,2.30008,2.59971,3.01114,0,0.44134,0.06818,0.07678,0.02467,0.00031,0.02273,3e-05,0,2.69688,1.97939,3.17245,3.02032,0,0.00190298,0.00190298,0.00190298
51,210.679,2.52324,2.24582,2.62449,3.02716,0,0.18794,0.11364,0.08103,0.02139,0.0003,0.02273,4e-05,0,2.64997,2.01965,3.54733,3.02063,0,0.001901,0.001901,0.001901
52,214.674,2.5166,2.24824,2.6649,3.01504,0,0.31045,0.09091,0.08363,0.02098,0,0,0,0,2.69406,2.03284,3.27296,3.05803,0,0.00189902,0.00189902,0.00189902
53,218.556,2.55945,2.31191,2.5432,3.021,0,0.29063,0.04545,0.07561,0.01348,0.0003,0.02273,1e-05,0,2.6983,2.08559,3.06136,3.09017,0,0.00189704,0.00189704,0.00189704
54,222.525,2.54697,2.23112,2.61821,3.01728,0,0.29063,0.04545,0.07561,0.01348,0.0003,0.02273,1e-05,0,2.6983,2.08559,3.06136,3.09017,0,0.00189506,0.00189506,0.00189506
55,226.472,2.55586,2.20144,2.60497,3.03173,0,0.19592,0.22727,0.13238,0.02637,0,0,0,0,2.62981,2.01899,3.04833,3.07868,0,0.00189308,0.00189308,0.00189308
56,230.343,2.54622,2.36208,2.53375,2.98033,0,0.24378,0.25,0.13552,0.03122,0.0003,0.02273,1e-05,0,2.7532,1.99905,3.05146,3.1464,0,0.0018911,0.0018911,0.0018911
57,234.607,2.60587,2.38767,2.49902,2.99266,0,0.21583,0.15909,0.11876,0.02792,0.00091,0.06818,8e-05,1e-05,2.87277,1.96635,3.02413,3.23586,0,0.00188912,0.00188912,0.00188912
58,238.675,2.60895,2.25258,2.59669,3.03776,0,0.12318,0.18182,0.06681,0.01475,0.00153,0.04545,0.00048,6e-05,2.85418,1.98831,2.88397,3.09212,0,0.00188714,0.00188714,0.00188714
59,242.588,2.54939,2.29945,2.49753,2.9803,0,0.12318,0.18182,0.06681,0.01475,0.00153,0.04545,0.00048,6e-05,2.85418,1.98831,2.88397,3.09212,0,0.00188516,0.00188516,0.00188516
60,246.561,2.55691,2.32826,2.53161,3.02647,0,0.11883,0.09091,0.07104,0.01938,0.00121,0.09091,0.00018,2e-05,2.65951,1.99077,2.92832,2.98878,0,0.00188318,0.00188318,0.00188318
61,250.716,2.55515,2.28207,2.53474,2.97336,0,0.15159,0.11364,0.07942,0.02848,0.00282,0.09091,0.00079,9e-05,2.70974,1.99961,2.95145,3.03739,0,0.0018812,0.0018812,0.0018812
62,254.701,2.58092,2.28309,2.55577,3.02988,0,0.17746,0.06818,0.0802,0.03519,0.00339,0.09091,0.00169,0.00022,2.78967,2.09677,2.86079,3.08931,0,0.00187922,0.00187922,0.00187922
63,258.584,2.61763,2.34869,2.61647,3.03382,0,0.10854,0.09091,0.07159,0.02851,0.00121,0.09091,0.0005,8e-05,2.86101,2.25157,2.89328,3.11664,0,0.00187724,0.00187724,0.00187724
64,262.563,2.56406,2.25905,2.55382,3.01322,0,0.10854,0.09091,0.07159,0.02851,0.00121,0.09091,0.0005,8e-05,2.86101,2.25157,2.89328,3.11664,0,0.00187526,0.00187526,0.00187526
65,266.825,2.496,2.25607,2.60396,3.01573,0,0.17039,0.11364,0.08033,0.02403,0.00092,0.06818,0.00015,2e-05,2.88735,2.21447,2.99951,3.13337,0,0.00187328,0.00187328,0.00187328
66,270.83,2.57701,2.29601,2.50969,3.02777,0,0.06149,0.25,0.07521,0.01316,0.00064,0.04545,4e-05,1e-05,2.85938,2.08601,2.98679,3.1333,0,0.0018713,0.0018713,0.0018713
67,274.818,2.62784,2.23004,2.60655,3.08368,0,0.01508,0.02273,0.03604,0.00599,0.00093,0.06818,7e-05,1e-05,2.93783,1.98544,2.98437,3.16251,0,0.00186932,0.00186932,0.00186932
68,278.697,2.498,2.17839,2.57354,3.02439,0,0.05034,0.04545,0.05706,0.01662,0.00093,0.06818,0.00018,2e-05,2.88232,1.98915,2.84911,3.13407,0,0.00186734,0.00186734,0.00186734
69,282.676,2.4969,2.15267,2.48922,3.01324,0,0.22707,0.06818,0.07999,0.01973,0,0,0,0,2.76348,2.07003,2.88229,3.07191,0,0.00186536,0.00186536,0.00186536
70,286.507,2.55192,2.32419,2.51981,2.95079,0,0.22707,0.06818,0.07999,0.01973,0,0,0,0,2.76348,2.07003,2.88229,3.07191,0,0.00186338,0.00186338,0.00186338
71,290.275,2.47505,2.20611,2.56911,2.98869,0,0.40788,0.06818,0.07546,0.02145,0,0,0,0,2.57502,2.05254,2.96519,2.97232,0,0.0018614,0.0018614,0.0018614
72,294.131,2.52572,2.2545,2.62543,2.9469,0,0.19168,0.11364,0.09137,0.02847,0.00062,0.04545,4e-05,0,2.53717,1.93261,3.05072,2.91721,0,0.00185942,0.00185942,0.00185942
73,298.072,2.53525,2.22368,2.55985,3.00391,0,0.19033,0.09091,0.07545,0.02142,0.00125,0.09091,0.00016,2e-05,2.58542,1.92425,3.01528,2.92144,0,0.00185744,0.00185744,0.00185744
74,302.23,2.44879,2.17141,2.50947,2.96501,0,0.08871,0.09091,0.0426,0.01228,0.00176,0.11364,0.0005,7e-05,2.55951,1.90542,3.03765,2.93048,0,0.00185546,0.00185546,0.00185546
75,306.057,2.45852,2.17099,2.48863,2.9319,0,0.08871,0.09091,0.0426,0.01228,0.00176,0.11364,0.0005,7e-05,2.55951,1.90542,3.03765,2.93048,0,0.00185348,0.00185348,0.00185348
76,309.925,2.44464,2.1813,2.60663,2.96454,0,0.01937,0.13636,0.0205,0.00442,0.00122,0.09091,0.00025,3e-05,2.59671,1.98549,3.06742,2.97399,0,0.0018515,0.0018515,0.0018515
77,313.834,2.39749,2.12309,2.50643,2.93232,0,0.0165,0.5,0.01793,0.00401,0.00091,0.06818,0.0001,2e-05,2.67015,1.99831,3.13131,3.00994,0,0.00184952,0.00184952,0.00184952
78,317.827,2.47907,2.35024,2.52925,2.88182,0,0.48149,0.06818,0.08306,0.02123,0.00122,0.09091,0.00031,6e-05,2.78535,1.95612,3.07847,3.06944,0,0.00184754,0.00184754,0.00184754
79,321.741,2.44267,2.09104,2.55171,2.96887,0,0.51377,0.06818,0.08326,0.01548,0.00123,0.09091,0.00015,3e-05,2.79129,1.96482,3.13511,3.06946,0,0.00184556,0.00184556,0.00184556
80,325.466,2.46699,2.17258,2.50048,2.95203,0,0.51377,0.06818,0.08326,0.01548,0.00123,0.09091,0.00015,3e-05,2.79129,1.96482,3.13511,3.06946,0,0.00184358,0.00184358,0.00184358
81,329.525,2.45368,2.18373,2.53151,2.94626,0,0.39237,0.04545,0.07571,0.01296,0.00094,0.06818,7e-05,1e-05,2.77175,2.02963,3.21338,3.04397,0,0.0018416,0.0018416,0.0018416
82,333.548,2.48053,2.19802,2.54172,2.9052,0,0.04493,0.13636,0.0676,0.0179,0.00095,0.06818,9e-05,2e-05,2.68459,1.96971,3.01694,2.97896,0,0.00183962,0.00183962,0.00183962
83,338.078,2.39956,2.17269,2.4903,2.89194,0,0.20394,0.27273,0.12196,0.03659,0.0016,0.11364,0.00053,9e-05,2.6438,1.90495,2.94774,2.95404,0,0.00183764,0.00183764,0.00183764
84,342.897,2.44428,2.18982,2.48778,2.93636,0,0.24613,0.18182,0.13519,0.0386,0.00129,0.09091,0.00086,0.00018,2.70676,1.93392,2.79053,3.01765,0,0.00183566,0.00183566,0.00183566
85,349.2,2.39446,2.10887,2.41782,2.84308,0,0.19725,0.13636,0.11229,0.03131,0.00227,0.11364,0.00107,0.00018,2.78964,2.08166,3.00612,3.05053,0,0.00183368,0.00183368,0.00183368
86,355.363,2.45417,2.1883,2.51984,2.81616,0,0.19725,0.13636,0.11229,0.03131,0.00227,0.11364,0.00107,0.00018,2.78964,2.08166,3.00612,3.05053,0,0.0018317,0.0018317,0.0018317
87,361.674,2.39986,2.18675,2.48189,2.8936,0,0.02511,0.36364,0.01958,0.0036,0.0007,0.04545,0.00013,2e-05,2.8982,2.25543,3.22212,3.16683,0,0.00182972,0.00182972,0.00182972
88,367.723,2.40409,2.20533,2.46689,2.90022,0,0.04711,0.20455,0.02658,0.00608,0.00066,0.04545,0.00041,5e-05,2.75717,2.25783,3.10767,3.1357,0,0.00182774,0.00182774,0.00182774
89,373.768,2.37119,2.16092,2.43009,2.85911,0,0.10865,0.09091,0.06706,0.01933,0.00094,0.06818,0.00063,7e-05,2.62109,2.0372,2.84692,2.95117,0,0.00182576,0.00182576,0.00182576
