epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,785.592,2.06868,3.82314,1.86505,0.57347,0.06595,0.05142,0.01631,2.1457,3.61567,1.56881,0.000416539,0.000416539,0.000416539
2,1572.51,1.99505,2.72461,1.8048,0.00417,0.16861,0.00264,0.00074,2.41538,6.87179,1.69802,0.000812583,0.000812583,0.000812583
3,2282.47,1.93629,2.55466,1.75907,0.32007,0.0827,0.03893,0.01329,1.94823,3.17287,1.37477,0.001188,0.001188,0.001188
4,3061.68,1.87861,2.41905,1.71338,0.30009,0.1469,0.04902,0.0155,1.93318,4.87913,1.32037,0.00115719,0.00115719,0.00115719
5,3824.49,1.80991,2.25679,1.65873,0.34437,0.11102,0.0738,0.02474,1.89721,4.14013,1.29605,0.00112625,0.00112625,0.00112625
6,4634.42,1.74688,2.14632,1.61855,0.36998,0.08499,0.07584,0.0253,1.85481,2.6481,1.27015,0.00109531,0.00109531,0.00109531
7,5361.73,1.71414,2.08255,1.60399,0.33846,0.09252,0.05477,0.01942,1.75875,2.78994,1.20076,0.00106437,0.00106437,0.00106437
8,6082.88,1.6914,2.0504,1.56888,0.35784,0.11292,0.07017,0.02223,1.84584,2.68551,1.21258,0.00103344,0.00103344,0.00103344
9,6783.41,1.67132,1.95954,1.56063,0.43527,0.13498,0.11181,0.03915,1.65854,2.5591,1.14372,0.0010025,0.0010025,0.0010025
10,7478.25,1.64448,1.93223,1.54914,0.3917,0.137,0.11597,0.04265,1.70643,2.19276,1.16147,0.000971562,0.000971562,0.000971562
11,8164.11,1.6277,1.89645,1.53203,0.42814,0.15703,0.13822,0.04818,1.70251,2.6424,1.14868,0.000940625,0.000940625,0.000940625
12,8859.53,1.63548,1.90862,1.53653,0.36027,0.14838,0.10392,0.03759,1.77558,2.35375,1.16807,0.000909688,0.000909688,0.000909688
13,9556.27,1.5791,1.8191,1.50172,0.40702,0.13301,0.11136,0.04237,1.68523,2.50713,1.14053,0.00087875,0.00087875,0.00087875
14,10311.4,1.57221,1.81085,1.50556,0.49196,0.16893,0.15621,0.05412,1.73936,2.11562,1.15572,0.000847813,0.000847813,0.000847813
15,11070.9,1.56434,1.79193,1.49209,0.44978,0.19969,0.18615,0.07238,1.68455,2.23505,1.12583,0.000816875,0.000816875,0.000816875
16,11833.1,1.54545,1.75788,1.49225,0.48078,0.16199,0.17177,0.06863,1.7364,2.06745,1.12059,0.000785938,0.000785938,0.000785938
17,12595.1,1.55583,1.75975,1.49845,0.45211,0.18836,0.15382,0.05834,1.67251,2.02638,1.11893,0.000755,0.000755,0.000755
18,13355.2,1.53603,1.70623,1.4706,0.46855,0.20142,0.16198,0.06256,1.65366,2.09463,1.09809,0.000724062,0.000724062,0.000724062
19,14118.9,1.51193,1.68827,1.45242,0.45157,0.18341,0.18034,0.07145,1.71608,2.08492,1.11629,0.000693125,0.000693125,0.000693125
20,14882,1.50127,1.68053,1.4503,0.44963,0.2088,0.17205,0.06141,1.68425,2.02525,1.13037,0.000662188,0.000662188,0.000662188
