epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,556.042,2.43285,4.64778,1.88886,0.55738,0.0447,0.03087,0.01174,1.81305,2.74097,1.26463,0.00041649,0.00041649,0.00041649
2,1139.78,2.43515,3.09036,1.93095,0.32701,0.07322,0.05257,0.01605,1.89671,2.7488,1.27773,0.000812537,0.000812537,0.000812537
3,1866.64,2.37045,2.96915,1.89295,0.52157,0.2612,0.05623,0.01897,1.79927,6.43992,1.22637,0.00118796,0.00118796,0.00118796
4,2610.46,2.31147,2.87629,1.86558,0.81629,0.09765,0.06719,0.01909,1.82917,2.20451,1.22926,0.00115719,0.00115719,0.00115719
5,3384.47,2.26679,2.77047,1.84402,0.59467,0.13694,0.07639,0.02476,1.73482,5.81118,1.19277,0.00112625,0.00112625,0.00112625
6,4094.23,2.23112,2.71001,1.81138,0.6057,0.12353,0.09055,0.02472,1.82223,2.19342,1.20998,0.00109531,0.00109531,0.00109531
7,4850.77,2.18807,2.65042,1.77653,0.62266,0.11179,0.10771,0.03301,1.70808,2.23615,1.17686,0.00106437,0.00106437,0.00106437
8,5558.39,2.1451,2.5695,1.75553,0.65596,0.11082,0.13342,0.04794,1.61133,2.33103,1.13263,0.00103344,0.00103344,0.00103344
9,6312.87,2.13488,2.53225,1.73762,0.64556,0.14568,0.14344,0.04794,1.59797,2.40867,1.11368,0.0010025,0.0010025,0.0010025
10,7037.93,2.12594,2.48587,1.71028,0.4411,0.21395,0.13206,0.04091,1.68628,2.20372,1.1452,0.000971562,0.000971562,0.000971562
11,7788.37,2.11652,2.47091,1.72534,0.41833,0.16572,0.09992,0.03417,1.64,2.52203,1.14821,0.000940625,0.000940625,0.000940625
12,8552.35,2.06841,2.41804,1.69932,0.54005,0.15095,0.1283,0.04081,1.71313,2.20354,1.15372,0.000909688,0.000909688,0.000909688
13,9289.87,2.05444,2.40376,1.68259,0.65269,0.1382,0.1252,0.0436,1.62316,2.4056,1.10637,0.00087875,0.00087875,0.00087875
14,10047.5,2.05612,2.38978,1.68647,0.45439,0.22914,0.13165,0.04462,1.6079,2.16633,1.09346,0.000847813,0.000847813,0.000847813
15,10792.6,2.04387,2.36915,1.65697,0.43358,0.21776,0.14484,0.04858,1.61924,2.05059,1.09911,0.000816875,0.000816875,0.000816875
16,11427.5,2.0384,2.34692,1.66385,0.4703,0.21351,0.1325,0.0494,1.60682,2.73153,1.10634,0.000785938,0.000785938,0.000785938
17,11946.6,2.00645,2.3485,1.64222,0.6709,0.16382,0.1572,0.06104,1.51495,1.94457,1.07318,0.000755,0.000755,0.000755
18,12447.9,1.98336,2.30878,1.62342,0.5468,0.22291,0.15416,0.05068,1.7037,2.0908,1.12148,0.000724062,0.000724062,0.000724062
19,12904.1,1.98988,2.28571,1.6466,0.53799,0.19851,0.17193,0.06033,1.64133,2.14199,1.11633,0.000693125,0.000693125,0.000693125
20,13361.6,1.9596,2.26021,1.62622,0.45636,0.25399,0.16506,0.05797,1.63051,2.24713,1.09891,0.000662188,0.000662188,0.000662188
21,13820.4,1.97925,2.26841,1.64877,0.46833,0.27195,0.17464,0.06004,1.62473,1.915,1.10849,0.00063125,0.00063125,0.00063125
22,14277.4,1.95852,2.23208,1.60872,0.50001,0.22499,0.18187,0.06556,1.5702,1.91914,1.08202,0.000600313,0.000600313,0.000600313
23,14734.9,1.9366,2.23049,1.60766,0.48642,0.21316,0.16527,0.05947,1.64633,2.03143,1.1057,0.000569375,0.000569375,0.000569375
24,15191.4,1.93501,2.19294,1.60909,0.45563,0.29258,0.18785,0.0692,1.6349,2.11969,1.09678,0.000538438,0.000538438,0.000538438
25,15648.1,1.90714,2.17147,1.579,0.45275,0.25308,0.17758,0.0615,1.62517,2.09805,1.09207,0.0005075,0.0005075,0.0005075
26,16105,1.92076,2.17173,1.59968,0.47629,0.2457,0.213,0.0891,1.63537,2.08039,1.0886,0.000476562,0.000476562,0.000476562
27,16564.4,1.91515,2.1576,1.59636,0.25544,0.25492,0.19918,0.07366,1.579,1.72991,1.06332,0.000445625,0.000445625,0.000445625
28,17021.9,1.91256,2.13632,1.59386,0.19869,0.28326,0.19754,0.06747,1.62827,2.03807,1.09982,0.000414688,0.000414688,0.000414688
29,17480.3,1.89132,2.10667,1.55701,0.20276,0.27259,0.18755,0.07115,1.65794,1.8425,1.08686,0.00038375,0.00038375,0.00038375
30,17938.6,1.87182,2.11605,1.54979,0.28712,0.36828,0.22143,0.08329,1.56606,1.86291,1.06858,0.000352812,0.000352812,0.000352812
31,18369.1,1.8217,2.015,1.53834,0.33054,0.29027,0.21309,0.08812,1.56193,1.93769,1.07027,0.000321875,0.000321875,0.000321875
32,18799.4,1.78219,1.969,1.51802,0.31956,0.32585,0.21108,0.08161,1.57475,1.86767,1.06929,0.000290937,0.000290937,0.000290937
33,19232.6,1.78055,1.97706,1.50431,0.29464,0.2697,0.22824,0.0792,1.56837,1.89881,1.05913,0.00026,0.00026,0.00026
34,19663,1.76461,1.92863,1.49899,0.26877,0.30468,0.19677,0.07376,1.57047,2.0708,1.0719,0.000229063,0.000229063,0.000229063
