epoch,time,train_loss,val_dice,lr
1,12.0,1.53259,,1.516e-05
2,22.0,1.45899,,2.449e-05
3,32.3,1.29436,,3.959e-05
4,42.7,1.09758,,5.980e-05
5,54.2,1.12707,0.30887,8.422e-05
6,64.7,0.893,,1.118e-04
7,75.3,0.89088,,1.413e-04
8,85.9,0.84743,,1.715e-04
9,96.5,0.9314,,2.009e-04
10,108.1,0.81145,0.40881,2.284e-04
11,118.6,0.75127,,2.528e-04
12,129.0,0.72581,,2.729e-04
13,139.4,0.6565,,2.878e-04
14,149.9,0.67759,,2.970e-04
15,161.0,0.65802,0.40692,3.000e-04
16,171.4,0.60483,,3.000e-04
17,181.9,0.58813,,3.000e-04
18,192.4,0.54502,,2.999e-04
19,202.9,0.55382,,2.999e-04
20,214.1,0.5875,0.40465,2.998e-04
21,224.6,0.65324,,2.997e-04
22,235.1,0.49529,,2.996e-04
23,245.5,0.61986,,2.994e-04
24,256.0,0.48593,,2.993e-04
25,267.6,0.46124,0.45887,2.991e-04
26,278.1,0.47946,,2.989e-04
27,288.6,0.56143,,2.987e-04
28,298.9,0.49695,,2.985e-04
29,309.4,0.51958,,2.982e-04
30,320.6,0.38578,0.38409,2.979e-04
31,331.1,0.50381,,2.977e-04
32,341.5,0.49658,,2.974e-04
33,351.9,0.49451,,2.970e-04
34,362.4,0.52511,,2.967e-04
35,373.6,0.46154,0.43554,2.964e-04
36,384.0,0.47737,,2.960e-04
37,394.5,0.44288,,2.956e-04
38,405.0,0.42396,,2.952e-04
39,415.5,0.46576,,2.948e-04
40,427.0,0.47614,0.48174,2.943e-04
41,437.4,0.47429,,2.939e-04
42,447.9,0.46879,,2.934e-04
43,458.5,0.4043,,2.929e-04
44,469.0,0.40697,,2.924e-04
45,480.1,0.43801,0.47456,2.919e-04
46,490.5,0.3895,,2.913e-04
47,501.0,0.41286,,2.907e-04
48,511.5,0.50499,,2.902e-04
49,521.9,0.43338,,2.896e-04
50,533.6,0.4538,0.48239,2.890e-04
51,544.1,0.39323,,2.883e-04
52,554.6,0.45377,,2.877e-04
53,565.2,0.45162,,2.870e-04
54,575.6,0.39914,,2.863e-04
55,586.9,0.48829,0.46787,2.856e-04
