epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6865,2.6108,5.20365,3.43109,2.46104,0,0.00485,0.36364,0.00189,0.00042,0,0,0,0,3.26815,3.34182,7.97574,3.13515,0,0.000615385,0.000615385,0.000615385
2,30.6271,2.64044,5.01957,3.45573,2.50113,0,0.00545,0.40909,0.00223,0.00059,0,0,0,0,3.1585,3.10512,8.33502,2.99952,0,0.00128078,0.00128078,0.00128078
3,34.5885,2.67671,4.99321,3.44917,2.56477,0,0.00606,0.45455,0.00285,0.00062,0,0,0,0,3.07361,2.84495,9.58075,2.91738,0,0.00194486,0.00194486,0.00194486
4,38.6071,2.77046,5.09329,3.64246,2.58958,0,0.00908,0.09091,0.00336,0.00069,0,0,0,0,3.27044,2.76115,9.15076,2.93867,0,0.00199406,0.00199406,0.00199406
5,42.6855,2.50919,5.11866,3.37346,2.42794,0,0.04398,0.02273,0.00669,0.00133,0,0,0,0,3.22322,2.8289,8.35111,2.91581,0,0.00199208,0.00199208,0.00199208
6,46.65,2.713,5.11786,3.34655,2.51025,0,0.04398,0.02273,0.00669,0.00133,0,0,0,0,3.22322,2.8289,8.35111,2.91581,0,0.0019901,0.0019901,0.0019901
7,50.9783,3.32257,4.61053,14.5446,2.97355,0,0.01287,0.15909,0.00512,0.00066,0,0,0,0,4.39974,1172.88,204.628,91.7198,0,0.00198812,0.00198812,0.00198812
8,55.6293,3.36113,4.56832,15.5776,2.90172,0,0.00819,0.20455,0.00427,0.00081,0,0,0,0,4.06222,356.735,133.515,41.2121,0,0.00198614,0.00198614,0.00198614
9,60.0098,3.3289,4.41525,11.3821,2.99881,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198416,0.00198416,0.00198416
10,64.3331,3.1705,3.74562,5.03301,3.14312,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00198218,0.00198218,0.00198218
11,68.6302,3.12881,4.71716,3.87937,3.08779,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019802,0.0019802,0.0019802
12,72.9019,3.10078,3.67384,3.29649,3.07893,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197822,0.00197822,0.00197822
13,76.9964,3.05299,3.50902,3.06182,3.09265,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197624,0.00197624,0.00197624
14,81.0991,3.17079,3.40323,3.05947,3.15602,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197426,0.00197426,0.00197426
15,85.4317,3.03019,3.3937,2.96674,3.076,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00197228,0.00197228,0.00197228
16,89.543,2.91855,3.19354,2.92663,3.02067,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.0019703,0.0019703,0.0019703
17,93.8374,2.89316,3.05618,2.82994,2.91516,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00196832,0.00196832,0.00196832
18,98.0854,2.77251,2.91316,2.82026,2.89757,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0,0.00196634,0.00196634,0.00196634
19,102.289,2.77258,3.01258,2.73471,2.88436,0,0,0,0,0,0,0,0,0,5.50545,105.174,481.694,34.7156,0,0.00196436,0.00196436,0.00196436
20,106.508,2.83881,2.97693,2.70283,2.91785,0,0,0,0,0,0,0,0,0,6.15063,40.4187,7.23337,22.712,0,0.00196238,0.00196238,0.00196238
21,110.789,2.72596,2.94672,2.6317,2.92079,0,0.00035,0.02273,3e-05,1e-05,0,0,0,0,5.04792,35.7158,5.27344,14.1515,0,0.0019604,0.0019604,0.0019604
22,115.207,2.6218,2.76498,2.57754,2.80286,0,0.00035,0.02273,3e-05,1e-05,0,0,0,0,5.04792,35.7158,5.27344,14.1515,0,0.00195842,0.00195842,0.00195842
23,119.581,2.69042,2.82786,2.61416,2.83578,0,0,0,0,0,0,0,0,0,4.80022,3.17605,5.32229,6.29083,0,0.00195644,0.00195644,0.00195644
24,123.843,2.65069,2.87765,2.60465,2.76001,0,0.00062,0.02273,3e-05,0,0,0,0,0,4.25291,47.3505,5.54054,11.2837,0,0.00195446,0.00195446,0.00195446
25,128.047,2.72854,2.85424,2.66215,2.8195,0,0.00547,0.34091,0.00294,0.00059,0,0,0,0,3.64771,2.6946,4.00553,4.38165,0,0.00195248,0.00195248,0.00195248
