epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,25742.2,1.44862,1.51568,1.41149,0.486,0.29904,0.2516,0.10388,1.74625,1.77843,1.2258,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
41,26349.3,1.45639,1.51449,1.41485,0.46935,0.31449,0.27167,0.11631,1.7611,1.71555,1.22509,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
42,26950.6,1.4428,1.49461,1.4068,0.48325,0.35041,0.26807,0.10848,1.73636,1.71712,1.21481,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235,0.009705,0.003235
43,27551.1,1.43014,1.47477,1.39963,0.49774,0.29632,0.26812,0.10574,1.77422,1.75992,1.22571,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
44,28158.8,1.42023,1.45344,1.39116,0.30556,0.33149,0.26245,0.10973,1.76676,1.74241,1.22486,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905,0.008715,0.002905
45,28761,1.43787,1.47726,1.39982,0.39926,0.3592,0.28195,0.12622,1.76281,1.74298,1.2271,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
46,29360.2,1.39782,1.41346,1.37455,0.42394,0.33285,0.28885,0.12123,1.75848,1.73222,1.23123,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
47,29961.7,1.39289,1.43087,1.38302,0.49439,0.31112,0.26501,0.11997,1.72614,1.73084,1.21607,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
48,30566.2,1.38658,1.39992,1.38026,0.52688,0.3198,0.27432,0.11921,1.73494,1.73352,1.22354,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245,0.006735,0.002245
49,31176.8,1.38545,1.40506,1.37143,0.36705,0.3525,0.28698,0.11921,1.72735,1.76281,1.22809,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
50,31790.9,1.36246,1.38253,1.36008,0.33091,0.3581,0.29601,0.12288,1.72413,1.72624,1.23079,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915,0.005745,0.001915
51,32364.8,1.40258,1.40146,1.36996,0.42821,0.36176,0.28604,0.11434,1.73776,1.75952,1.23534,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
52,32931.3,1.38683,1.3801,1.35811,0.5809,0.34042,0.30968,0.13423,1.74022,1.78102,1.23672,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
53,33499.5,1.37614,1.3515,1.35249,0.4755,0.34175,0.30539,0.13342,1.74428,1.78931,1.23543,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
54,34067.4,1.33656,1.32586,1.31928,0.55679,0.33991,0.3085,0.13766,1.74433,1.78088,1.23665,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255,0.003765,0.001255
55,34639.4,1.34909,1.30715,1.32308,0.57247,0.32773,0.30136,0.12774,1.75155,1.80637,1.2377,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
56,35214.6,1.33003,1.27909,1.31361,0.55724,0.33917,0.2923,0.12487,1.75184,1.82979,1.23547,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925,0.002775,0.000925
57,35783.4,1.32333,1.2756,1.31285,0.55907,0.33082,0.30085,0.12357,1.76119,1.82047,1.2417,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
58,36355.7,1.3195,1.26695,1.3117,0.54795,0.3344,0.29538,0.11873,1.76564,1.81484,1.24606,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
59,36937.4,1.29772,1.236,1.29957,0.52214,0.31682,0.28427,0.11581,1.77244,1.838,1.25171,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
60,37518.7,1.30763,1.2449,1.2917,0.54231,0.27326,0.28001,0.11455,1.77618,1.85447,1.2552,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265,0.000795,0.000265
