epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,891.087,1.95487,3.27865,1.72542,0.02192,0.3724,0.03127,0.01323,2.07341,3.52701,1.5257,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226,0.00999679,0.00333226
2,1566.47,1.99938,2.74753,1.73782,0.43265,0.02176,0.01526,0.00447,2.30875,3.40351,1.63102,0.0196668,0.00655562,0.0196668,0.00655562,0.0196668,0.00655562,0.0196668,0.00655562
3,2296.04,2.10277,2.78458,1.8457,0.00727,0.27293,0.00823,0.00217,2.49181,3.79006,1.7694,0.0290069,0.00966897,0.0290069,0.00966897,0.0290069,0.00966897,0.0290069,0.00966897
4,3087.39,2.13563,2.75599,1.89392,0.6486,0.07499,0.04424,0.01289,2.19452,3.41994,1.64944,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,3796.38,2.01516,2.526,1.81194,0.44554,0.06645,0.03072,0.00885,2.12232,3.46653,1.59777,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,4463.21,1.95261,2.38988,1.76792,0.43662,0.0732,0.03642,0.00756,2.22419,2.97977,1.59161,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,5460.14,1.9181,2.27968,1.74306,0.47997,0.09816,0.06604,0.02075,2.04475,2.49882,1.45651,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,6152.14,1.86696,2.19541,1.70074,0.50111,0.09816,0.08444,0.02787,1.99815,2.67364,1.43044,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,6805.71,1.84231,2.16657,1.6657,0.50173,0.12691,0.11367,0.03766,2.00356,2.82681,1.43634,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,7473.44,1.81306,2.13628,1.66884,0.51245,0.11422,0.08947,0.03219,1.89995,2.48095,1.3927,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,8223,1.78632,2.04766,1.63448,0.49853,0.1039,0.10107,0.03568,1.91291,2.68124,1.35032,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,8849.8,1.76436,1.98383,1.62594,0.49434,0.10514,0.10386,0.0428,1.87563,2.57417,1.36927,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,9464.2,1.74224,1.98856,1.5977,0.53895,0.13156,0.12586,0.04727,1.84251,2.26303,1.33877,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,10073.3,1.71201,1.92572,1.59302,0.59722,0.14726,0.13483,0.04615,1.87276,2.23379,1.32981,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,10683.6,1.71101,1.90721,1.58154,0.54919,0.14237,0.11524,0.04288,1.79689,2.33809,1.28873,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,11292.4,1.68121,1.86207,1.55918,0.73069,0.13891,0.13891,0.0523,1.89707,2.18517,1.34419,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
17,11895,1.68106,1.84623,1.56589,0.51653,0.15591,0.12654,0.04796,1.79957,2.38027,1.29413,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
18,12495.1,1.65871,1.84159,1.5455,0.52576,0.18406,0.15026,0.0511,1.84874,2.13233,1.31894,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
19,13097.8,1.65804,1.81363,1.54602,0.16638,0.1918,0.15982,0.05747,1.87635,2.07269,1.30299,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
20,13699.2,1.64665,1.79326,1.53145,0.56022,0.20595,0.18371,0.06981,1.83677,2.0831,1.28042,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
21,14301.7,1.62256,1.77321,1.52827,0.35361,0.15932,0.1619,0.06138,1.81429,2.10282,1.26904,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
22,14901.2,1.64424,1.79829,1.52447,0.39678,0.16619,0.17214,0.06647,1.7591,2.01835,1.28245,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
23,15499,1.59658,1.76256,1.51301,0.44833,0.22736,0.21814,0.08504,1.75291,1.90477,1.24516,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
24,16099.4,1.60554,1.73565,1.50921,0.38648,0.23558,0.19877,0.07461,1.80842,1.97657,1.25834,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
25,16700.1,1.59596,1.71653,1.50454,0.19634,0.25272,0.18348,0.0703,1.81091,2.06423,1.28281,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
26,17303.6,1.56416,1.65668,1.48739,0.42121,0.24494,0.21687,0.07869,1.75874,1.9635,1.23385,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
27,17906.4,1.56646,1.68877,1.48113,0.37156,0.27471,0.17851,0.06531,1.83818,1.94382,1.28855,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
28,18506.7,1.56431,1.67385,1.47764,0.24196,0.34529,0.20687,0.07999,1.78174,1.90294,1.25454,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
29,19107.2,1.56293,1.68069,1.48383,0.23405,0.32229,0.1993,0.07716,1.77231,1.92358,1.26552,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
30,19705.7,1.53283,1.66906,1.47068,0.43133,0.27924,0.21675,0.08366,1.74191,1.92482,1.22244,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215,0.015645,0.005215
31,20305.4,1.5346,1.63654,1.45878,0.22577,0.26161,0.22703,0.08729,1.75936,1.81036,1.24488,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
32,20908.3,1.52738,1.60477,1.45961,0.47776,0.33696,0.2356,0.08919,1.7684,1.8789,1.25692,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885,0.014655,0.004885
33,21519,1.50828,1.59748,1.45245,0.29375,0.34831,0.22523,0.08742,1.75937,1.88957,1.22825,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
34,22120.8,1.52871,1.62238,1.44959,0.53379,0.33246,0.26478,0.10247,1.79882,1.79501,1.24567,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
35,22723,1.49864,1.57249,1.43736,0.28395,0.29626,0.23092,0.08726,1.77661,1.83281,1.23893,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
36,23324.9,1.48266,1.55076,1.43676,0.25455,0.31022,0.23992,0.09218,1.76119,1.81882,1.2579,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225,0.012675,0.004225
37,23929.8,1.47189,1.54092,1.41935,0.4867,0.27674,0.24925,0.0991,1.74927,1.87588,1.22146,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
38,24538.7,1.44889,1.52039,1.41837,0.25827,0.2943,0.22696,0.09106,1.7709,1.8418,1.25061,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895,0.011685,0.003895
39,25140.1,1.46011,1.53712,1.43042,0.28107,0.29064,0.2325,0.09459,1.76418,1.83293,1.23534,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
